numberOfBugsFoundUntil:,numberOfNonTrivialBugsFoundUntil:,numberOfMajorBugsFoundUntil:,numberOfCriticalBugsFoundUntil:,numberOfHighPriorityBugsFoundUntil:,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,bugs
6,4,0,0,1,0,0,0,0,0
12,6,0,0,10,0,0,0,0,0
6,3,0,0,5,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
2,1,0,0,2,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
29,14,2,1,20,0,0,0,0,0
4,2,0,0,2,0,0,0,0,0
3,2,0,0,3,0,0,0,0,0
7,3,0,0,5,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
3,2,0,0,2,0,0,0,0,0
7,4,0,0,4,0,0,0,0,0
14,8,0,0,9,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0
26,8,0,0,18,0,0,0,0,0
6,3,0,0,4,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
4,1,0,0,3,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
18,7,1,0,11,0,0,0,0,0
4,3,0,0,2,0,0,0,0,0
8,4,0,0,5,0,0,0,0,0
8,2,0,0,2,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
3,2,0,0,3,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
5,3,1,0,2,1,0,0,0,1
2,2,0,0,0,0,0,0,0,0
5,2,0,0,2,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
5,2,0,0,2,0,0,0,0,0
5,2,0,0,2,0,0,0,0,0
16,9,1,0,9,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,1
3,1,0,0,2,0,0,0,0,0
9,2,0,0,4,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
10,6,1,0,7,0,0,0,0,0
11,4,0,0,8,0,0,0,1,1
3,2,0,0,2,0,0,0,0,0
8,2,0,0,8,0,0,0,0,0
5,2,0,0,5,0,0,0,0,0
7,3,0,0,5,0,0,0,0,0
14,6,0,0,7,1,0,0,0,1
3,0,0,0,2,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
4,1,0,0,2,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1
10,5,0,0,6,0,0,0,0,0
3,1,0,0,2,0,0,0,0,0
24,16,3,2,17,0,0,0,0,0
1,1,1,0,1,2,0,0,0,2
2,2,0,0,0,0,0,0,0,0
15,7,3,0,9,0,0,0,0,0
4,2,1,0,0,0,0,0,0,1
12,3,0,0,7,0,0,0,0,0
5,1,0,0,1,0,0,0,0,0
6,1,0,0,5,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
92,39,5,3,42,5,0,0,1,8
2,0,0,0,2,0,0,0,0,0
14,4,1,0,10,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
10,3,0,0,6,0,0,0,0,0
2,1,0,0,1,0,0,0,0,0
11,9,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
5,3,0,0,4,0,0,0,0,0
38,13,3,2,14,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
17,3,0,0,11,0,0,0,0,0
5,2,0,0,2,0,0,0,0,0
6,1,0,0,4,0,0,0,0,0
7,2,0,0,5,0,0,0,0,0
37,16,0,0,26,0,0,0,0,0
8,4,0,0,5,0,0,0,0,0
24,10,1,1,15,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
14,7,0,0,8,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
4,2,0,0,3,0,0,0,0,0
2,1,0,0,1,0,0,0,0,0
7,2,0,0,3,0,0,0,0,0
3,1,0,0,2,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
8,3,0,0,5,0,0,0,0,0
5,1,0,0,4,0,0,0,0,0
7,4,1,0,4,0,0,0,0,0
7,2,0,0,6,0,0,0,0,0
1,1,1,0,1,1,0,0,0,1
4,3,0,0,0,0,0,0,0,0
3,1,0,0,3,0,0,0,0,0
4,3,0,0,1,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
3,1,0,0,3,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
20,9,2,0,12,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
9,4,0,0,4,0,0,0,0,0
29,15,4,0,22,0,0,0,1,1
13,3,0,0,8,0,0,0,0,0
35,12,2,1,21,1,0,0,0,1
2,2,0,0,0,1,0,0,0,1
3,2,0,0,3,0,0,0,0,1
7,4,1,1,5,0,0,0,0,0
7,2,0,0,6,0,0,0,0,0
6,1,0,0,4,0,0,0,0,0
17,4,0,0,9,0,0,0,0,0
7,1,0,0,3,0,0,0,0,0
4,2,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
5,3,0,0,5,0,0,0,0,0
7,1,0,0,2,0,0,0,0,0
3,1,0,0,2,0,0,0,0,0
2,1,0,0,1,0,0,0,0,0
3,2,0,0,3,0,0,0,0,0
7,3,1,1,4,0,0,0,0,1
5,5,0,0,0,0,0,0,0,0
4,2,0,0,3,0,0,0,0,0
13,3,0,0,6,0,0,0,0,0
22,11,1,1,12,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1
12,5,1,1,7,0,0,0,0,0
44,23,1,1,22,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0
7,5,0,0,5,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
3,1,0,0,2,0,0,0,0,0
7,1,0,0,5,0,0,0,0,0
7,1,0,0,3,0,0,0,0,0
10,4,1,0,6,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
22,10,3,0,14,0,0,0,0,0
3,2,0,0,3,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
7,3,1,1,5,0,0,0,0,0
6,2,0,0,4,0,0,0,0,0
6,4,0,0,5,0,0,0,0,0
7,0,0,0,2,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
4,3,0,0,1,0,0,0,0,0
8,3,0,0,5,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
8,6,0,0,1,0,0,0,0,1
13,3,0,0,8,0,0,0,0,0
4,1,0,0,3,0,0,0,0,0
11,4,0,0,7,0,0,0,0,0
5,2,0,0,3,0,0,0,0,0
13,4,0,0,11,0,0,0,0,0
3,2,0,0,3,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
4,1,0,0,2,0,0,0,0,0
25,8,1,0,16,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
5,2,0,0,4,0,0,0,0,0
3,3,0,0,0,0,0,0,0,1
7,3,0,0,4,0,0,0,0,0
14,7,0,0,9,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
11,5,1,0,7,0,1,0,1,1
3,1,0,0,2,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
8,5,1,1,5,0,0,0,0,0
3,1,0,0,3,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
29,11,0,0,18,0,0,0,0,0
6,3,0,0,4,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
4,2,0,0,3,0,0,0,0,0
14,7,1,1,7,2,0,0,0,2
2,1,0,0,1,0,0,0,0,0
5,1,0,0,3,0,0,0,0,0
5,3,0,0,4,0,0,0,0,0
12,5,0,0,7,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
11,3,0,0,7,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
4,1,0,0,2,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0
11,4,0,0,8,0,0,0,0,0
7,1,0,0,4,0,0,0,0,0
12,4,1,0,8,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
4,1,0,0,3,0,0,0,0,0
7,3,0,0,4,0,0,0,0,0
4,3,0,0,4,0,0,0,0,0
13,11,0,0,9,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0
8,3,0,0,5,0,0,0,0,0
22,9,0,0,13,0,0,0,0,1
1,1,1,0,1,1,0,0,0,1
13,7,0,0,9,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0
14,3,0,0,9,0,0,0,0,0
12,5,0,0,8,0,0,0,0,0
6,1,0,0,4,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
30,14,0,0,16,1,0,0,0,1
2,0,0,0,0,0,0,0,0,0
4,3,0,0,3,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1
12,7,0,0,8,0,0,0,0,0
11,6,0,0,8,0,0,0,0,0
14,9,2,0,4,0,0,0,0,0
23,7,2,1,13,0,1,0,1,1
7,6,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
4,1,0,0,4,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
35,21,1,1,21,0,0,0,0,0
6,3,0,0,4,0,0,0,0,0
22,15,0,0,13,0,0,0,0,1
17,7,1,1,12,0,0,0,0,0
12,4,0,0,7,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
28,15,1,1,15,3,0,0,0,3
1,1,0,0,0,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
9,4,1,0,6,0,0,0,0,0
17,6,0,0,9,0,0,0,0,0
11,5,0,0,5,0,0,0,0,0
10,5,0,0,5,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,1
12,9,1,1,7,0,0,0,0,0
9,5,0,0,6,0,0,0,0,0
18,13,2,0,6,0,0,0,0,0
8,5,0,0,7,0,0,0,0,0
20,9,1,0,11,1,0,0,0,1
34,13,2,1,21,0,0,0,0,0
6,1,0,0,5,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
3,1,0,0,2,0,0,0,0,0
66,36,2,0,36,1,0,0,0,1
1,0,0,0,1,0,0,0,0,0
3,1,0,0,3,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
35,20,2,2,23,0,0,0,1,1
13,4,1,0,8,0,0,0,0,0
2,2,1,1,0,0,0,0,0,0
5,2,0,0,3,0,0,0,0,0
10,6,1,1,7,0,0,0,0,0
13,5,0,0,5,0,0,0,0,1
3,0,0,0,1,0,0,0,0,0
7,2,0,0,5,0,0,0,0,0
4,2,0,0,4,0,0,0,0,0
4,3,0,0,3,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,1
4,1,0,0,3,0,0,0,0,0
21,8,1,0,15,0,0,0,0,0
10,4,0,0,8,0,0,0,0,0
2,2,1,0,2,0,0,0,0,0
11,5,1,0,8,0,0,0,0,0
40,15,2,1,14,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
7,4,0,0,6,0,0,0,0,0
4,1,0,0,3,0,0,0,0,0
7,3,1,0,6,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
8,3,1,0,6,0,0,0,0,0
14,5,1,0,10,0,0,0,0,0
14,4,0,0,9,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
4,2,0,0,2,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1
4,2,0,0,3,0,0,0,0,0
31,16,0,0,22,2,0,0,0,2
4,4,2,0,2,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
6,1,0,0,5,0,0,0,0,0
3,1,0,0,2,0,0,0,0,0
20,10,1,0,10,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
10,4,0,0,6,0,0,0,0,0
17,5,0,0,7,0,0,0,0,0
7,3,1,0,5,0,0,0,0,0
15,3,0,0,11,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
14,6,0,0,7,0,0,0,0,0
3,1,1,0,2,0,0,0,0,0
6,3,1,0,3,0,0,0,0,0
15,8,1,1,9,0,0,0,0,0
9,3,0,0,5,0,0,0,0,0
19,7,2,0,13,0,0,0,0,0
3,2,0,0,1,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
1,0,0,0,1,1,0,0,1,1
24,9,1,1,15,1,0,0,0,1
4,2,0,0,3,0,0,0,0,0
8,4,2,0,4,0,0,0,0,0
8,3,0,0,5,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
8,3,0,0,3,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
9,3,0,0,7,0,0,0,0,0
108,61,9,4,60,0,0,0,0,0
12,3,0,0,8,1,0,0,0,1
5,3,0,0,4,0,0,0,0,0
4,2,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0
4,1,0,0,3,0,0,0,0,0
6,2,0,0,4,1,0,0,0,1
2,0,0,0,2,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
3,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
15,7,0,0,10,0,0,0,0,1
11,8,1,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
4,1,0,0,3,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
2,0,0,0,1,1,0,0,0,1
3,0,0,0,3,0,0,0,0,0
7,3,0,0,4,0,0,0,0,0
10,2,0,0,8,0,0,0,0,0
4,1,0,0,2,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
4,1,0,0,3,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
6,0,0,0,3,0,0,0,0,0
6,4,0,0,2,0,0,0,0,0
5,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
17,8,2,1,12,1,0,0,0,2
1,1,0,0,1,0,0,0,0,0
23,11,3,0,11,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
2,0,0,0,2,0,0,0,0,0
27,11,3,2,17,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
57,28,4,3,27,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0
5,2,0,0,2,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
4,1,0,0,2,0,0,0,0,0
11,10,0,0,0,0,0,0,0,0
9,5,0,0,3,2,1,1,1,3
4,3,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
3,1,0,0,2,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0
14,7,0,0,9,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
20,8,2,0,12,0,0,0,0,0
7,3,1,1,3,0,0,0,0,0
4,2,0,0,2,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
4,1,0,0,3,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
5,3,0,0,4,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
3,2,0,0,1,0,0,0,0,0
4,0,0,0,2,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
18,7,1,1,11,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
7,3,0,0,4,0,0,0,0,0
5,3,0,0,4,0,0,0,0,0
4,1,0,0,2,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
20,9,0,0,14,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0
8,3,0,0,4,0,0,0,0,0
4,3,0,0,3,0,0,0,0,0
2,1,0,0,2,0,0,0,0,0
10,4,0,0,8,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
6,0,0,0,2,2,1,0,1,3
4,4,0,0,0,0,0,0,0,0
4,1,0,0,3,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,1,0,0,1,0,0,0,0,0
3,1,0,0,2,0,0,0,0,0
18,11,1,0,12,0,0,0,0,0
17,6,0,0,10,0,0,0,0,0
5,3,0,0,4,0,0,0,0,0
8,5,2,0,7,0,0,0,0,0
1,0,0,0,0,2,0,0,0,3
7,4,1,0,5,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
4,4,1,0,0,0,0,0,0,0
6,2,2,0,3,0,0,0,0,0
8,1,0,0,4,0,0,0,0,0
3,1,0,0,2,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0
10,3,0,0,6,0,0,0,0,0
5,3,0,0,4,0,0,0,0,0
8,4,1,0,5,2,0,0,0,2
12,5,0,0,7,0,0,0,0,0
4,2,0,0,3,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
3,0,0,0,2,0,0,0,0,0
3,1,0,0,2,0,0,0,0,0
4,1,0,0,2,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0
6,2,0,0,4,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
3,2,1,1,2,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1
7,4,0,0,6,0,0,0,0,0
5,3,0,0,4,0,0,0,0,0
2,1,0,0,2,0,0,0,0,0
6,3,0,0,4,0,0,0,0,0
1,1,1,0,1,1,0,0,0,1
2,1,0,0,2,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
11,5,1,1,7,0,0,0,0,0
4,3,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1
8,4,0,0,7,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
14,3,0,0,10,0,0,0,0,0
1,1,0,0,1,1,0,0,0,2
2,1,0,0,1,0,0,0,0,0
4,1,0,0,4,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
9,3,0,0,6,0,0,0,0,0
66,40,5,3,39,1,0,0,2,2
3,3,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
27,16,4,3,20,1,0,0,0,1
3,3,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
52,24,3,1,35,2,0,0,0,2
3,1,0,0,3,0,0,0,0,0
4,2,0,0,4,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
19,10,1,0,15,0,0,0,0,0
12,4,0,0,7,0,0,0,0,0
5,3,0,0,3,0,0,0,0,0
3,1,0,0,3,0,0,0,0,0
6,5,2,0,0,0,0,0,0,1
2,2,0,0,0,0,0,0,0,0
13,6,1,1,7,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
19,13,2,0,13,0,0,0,0,0
4,2,0,0,3,0,0,0,0,0
4,1,0,0,2,0,0,0,0,0
7,2,0,0,5,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
6,1,0,0,2,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0
17,6,0,0,13,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1
8,4,1,1,5,0,0,0,0,0
27,18,1,0,19,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
20,10,2,0,15,0,0,0,0,0
9,2,1,0,5,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
3,2,0,0,2,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
31,19,4,1,18,0,0,0,0,0
5,3,0,0,4,0,0,0,0,0
30,10,1,0,14,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
10,3,0,0,6,0,0,0,0,0
10,7,0,0,0,0,0,0,0,1
10,3,0,0,3,0,0,0,0,0
6,5,0,0,0,0,1,0,0,2
2,0,0,0,2,0,0,0,0,0
3,1,0,0,2,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1
3,2,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0
2,1,1,0,1,0,0,0,0,0
2,1,0,0,1,0,0,0,0,0
3,1,0,0,3,0,0,0,0,0
10,4,0,0,7,0,0,0,0,0
8,2,0,0,5,1,0,0,0,1
1,1,0,0,0,0,0,0,0,1
2,0,0,0,1,0,0,0,0,0
26,8,1,1,16,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
13,6,0,0,4,0,0,0,0,0
6,1,0,0,3,0,0,0,0,0
2,1,0,0,1,0,0,0,0,0
44,29,3,0,28,0,0,0,0,0
10,4,0,0,6,0,0,0,0,0
12,7,1,0,4,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
17,4,0,0,11,0,0,0,0,0
7,4,0,0,2,0,0,0,0,1
16,6,0,0,8,0,0,0,0,0
2,2,0,0,0,0,0,0,0,1
2,1,0,0,2,0,0,0,0,0
23,6,0,0,13,1,0,0,0,1
4,2,0,0,4,0,0,0,0,0
27,12,3,1,16,0,0,0,0,0
7,4,1,1,5,0,0,0,0,0
